gene_code,T_cac14,T_cac5,T_cac10,T_cac13,T_cac16,T_cac4,T_cac9,T_cac8,T_cac3,T_cac6,T_cac2,T_cac7,T_cac11,T_cac12,T_cac1
ENSG00000182224,97.22709,25.96754,77.54046,66.62508,39.71758,42.00166,45.71411,71.20197,68.6418,39.34761,70.31869,99.15859,63.53608,81.10233,73.8957
ENSG00000197077,3642.47908,1591.29273,3048.69204,2216.11993,3550.56111,2796.3243,1654.17764,1964.8546,3012.03917,1571.53,1494.61505,2245.2681,2186.68989,2492.58173,3032.42404
ENSG00000164172,470.11889,117.56857,693.1545401,345.6897,421.464776,218.75817,460.80039,460.75552,382.11395,174.36474,788.9695,443.30273,599.71384,487.72486,729.81389
ENSG00000187672,6.64792,2.04842,2.35465,4.65502,25.6261,6.84277,5.92952,3.79653,2.45644,5,11.617,5.40807,0.6328,6,8.61625
ENSG00000176697,37.70609433,23.2714,49.02532,37,24.00003,26.00005,41.13073,50.82374,32.99995,37.00007,36.766463,16.17833,16.51964,44.99999,35.72524
ENSG00000198380,6272.8442,1792.95,7931.65,5272.04,15671.172,4358.49,5983.4145,9659.2088,8371.6381,3649.85,10760.3,8946.32,6714.04,5438.627,6783.69
ENSG00000196562,9094.615,1864.846,12516.679,2150.5257,8127.801,7929.243,3296.094,8115.456,5845.027,3265.226,5545.034,4614.282,2986.714,6059.09713,12730.829
ENSG00000157470,73.03074,89.1476,80.06694,130.56171,90.8916,110,39.5193,76.76917,103.88548,26,104.660177,350.4065,69,77.99996,160.86161
ENSG00000197653,124.647,56.843,23.960109,536.7034,70.7663,31.02232,43.347418,405.689,21.7104,35.4021,70.33268,18.24125,57.8849,319.479,23.2203
ENSG00000165678,3727,1137,4792,2273,4206,2404,3088,3068,2460,1491,3908,3336,2552,4028,3954
ENSG00000243284,29.9618,30,22.941,34.77,21.6009,42.5786,59.2867,11,13.0128,38.7204,22.0616,26.3898,31.622,43.1878,26.2392
ENSG00000119915,6,1,2,1,3,1,1,1,2,1,1,2,0,12,3
ENSG00000253293,506.611,181.2419,266.3073,124.3767,233.519,246.5062,271.226,252.259,151.3403,189.1877,257.6967,147.2637,29.44438,53.7534,364.769
ENSG00000151917,43.00873,2,47.65881,7,11,24.48908,18.24512,46.19469,43.00007,4.49608,112.3364,24.6753,33.0225,21.01329,35.49587
ENSG00000168701,447.10023,195.1518,530.2789,181.7345,576.08523,356.49168,391.25922,260.54147,420.128,221.4321,350.641,407.7595,236.1259,422.9367,447.368
ENSG00000110244,0,4,0,0,1,2,0,2,0,0,0,1,0,2,0
ENSG00000181896,266.06616,69.98894,237.26783,239.76332,145.16446,172.8582,126.2781,202.634092,225.16582,120.63344,216.8443,213.5347,197.46901,145.2879,187.576
ENSG00000181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008869,3921.298,815.1,2918.55504,3329.332,3464.858,2273.384,3346.37792,3558.873,3575.304,2732.625,3878.205,3486.772,2485.1,3710.937,3129.013
ENSG00000134571,112.0812,8.52852,31.00004,51,22.5237,19.80744,26.9126,8.44806,32,16.9214,36,49,50.865,79,26.99998
ENSG00000229549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000105298,624.121,610.556,550.9708,346.209,828.0224,790.22522,603.638,364.643,491.888,392.18293,366.66395,381.79516,392.445,653.9498,638.0461
ENSG00000168538,2393.223,397.7637,2503.14657,1994.590764,2107.975749,1333.785,2229.05296,2258.863,1905.2651,773.305075,2378.312,1950.2767,1189.653,1870.741723,2545.096
ENSG00000164920,51.99992,126.00003,143.65276,25,32.99999,61.000015,60.00002,111.99997,112.00002,35.00003,32.99999,139,125.9999,99.00004,74.999949
ENSG00000150244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000125247,2058.9983,222.91454,1203.67536,552.25394,1443.27,777.89679,1567.4589,1458.47999,1346.8911,1059.6826,791.7103,615.50342,629.21028,866.51356,1205.60858
ENSG00000175318,35.24944,8.95221,96.9498,25.92686,71.31201,56.55451,54.05357,8.07777,35.90701,45.63725,9.30774,43.11936,53.3179,11.5761359,8
ENSG00000117748,627.000108,260.99997,747.0002,548.0003,734.0007,560.00069,680.00062,671.9997,462.9997,295.0004,690.0004,812.9996,598.00014,695.001316,823
ENSG00000109971,20070.51394,8156.48801,20387.16108,16287.67863,17608.75753,14315.46327,15601.73556,19088.81476,17470.1544,8954.217758,15178.86812,17444.53353,12023.75558,17790.40291,19128.98548
ENSG00000086102,2981.683,699.706,2665.169,2797,3733.789,2099.8105,2799.844,2365.78,3556.17,1439.419,2946.724,2680.269,1843.532,2474.078,2472.597
ENSG00000114120,558.24538,104.0732,607.66961,497.09914,689.98888,482.72083,663.72786,473.73895,552.52939,329.4389,558.17522,325.3464,556.02292,678.32454,694.7404
